 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
34,DqCep_V_15s_026_out.FIT,26,0,58024.60708,2458024.607,2458024.607,2458024.613,NaN,2.008403,29.740674,5.325188,15,0,0,12,20,30,1.857402,0.208642,4.792891,0.002841,0.000852,0.01958,653.894322,244.781434,244.781434,585885.017,752.430214,625.425917,136.065618,625.925917,374.434382,1088223.788,903.570056,7.296237,0.001659,1204.360172,63337,2609.092511,212.123815,5.593547,5.381599,5.805495,289.02036,0.990768,663.88034,301.670077,664.38034,208.829923,101138.6216,390.793797,9.76,0.004187,258.803037,6717.5,432.124724,208.860659,5.280631,5.027598,5.533663,287.436074,0.986418,137.741753,397.291004,138.241753,113.208996,484746.3955,642.986342,8.2,0.001439,753.898433,35277.5,1285.690949,215.610606,5.118482,4.83501,5.401954,68.930358,0.977823
35,DqCep_V_15s_027_out.FIT,27,0,58024.60739,2458024.607,2458024.607,2458024.613,NaN,2.004045,29.812548,4.88976,15,0,0,12,20,30,1.873582,0.211254,4.733645,0.002858,0.000853,0.019109,655.507442,247.717716,247.717716,586418.7952,752.058984,630.867599,139.89952,631.367599,370.60048,1098703.789,907.714221,7.28682,0.001655,1210.407157,51457,2631.798458,211.746059,5.843986,5.77044,5.917531,52.163423,0.989657,669.382121,305.484927,669.882121,205.015073,102276.781,389.883853,9.76,0.004131,262.32628,5293.5,436.434004,207.626888,5.784011,5.870078,5.697944,37.956877,0.985055,143.163465,401.119715,143.663465,109.380285,484142.0142,643.104422,8.2,0.001441,752.820223,30430,1281.875551,215.483449,5.325002,5.251073,5.398931,48.181908,0.937269
36,DqCep_V_15s_028_out.FIT,28,0,58024.6077,2458024.608,2458024.608,2458024.613,NaN,1.999714,29.884347,4.88976,15,0,0,12,20,30,1.865409,0.210794,4.743972,0.002855,0.000855,0.01924,653.288219,246.572836,246.572836,583090.0614,749.555853,674.109046,87.941915,674.609046,422.558085,1087701.241,903.915392,7.291567,0.001661,1203.32196,41963.75,2596.622807,211.313068,6.186968,6.235435,6.138502,33.324851,0.998438,712.556995,253.537827,713.056995,256.962173,101513.3951,388.909861,9.76,0.004152,261.020368,4487.75,436.314189,207.680416,5.925143,6.025738,5.824548,25.649255,0.997053,186.422607,349.196696,186.922607,161.303304,481576.6662,640.767584,8.2,0.001444,751.562155,23556.25,1277.134658,214.051509,5.637527,5.619455,5.655598,46.06645,0.970327
37,DqCep_V_15s_029_out.FIT,29,0,58024.60802,2458024.608,2458024.608,2458024.614,NaN,1.995409,29.956072,5.325188,15,0,0,12,20,30,1.881471,0.210083,4.760026,0.00288,0.000859,0.019467,653.180791,244.512148,244.512148,583039.3446,751.491171,633.170191,62.508087,633.670191,447.991913,1096971.597,906.282468,7.282258,0.001661,1210.408053,38906.5,2643.99612,211.686592,6.876884,7.310928,6.44284,33.894682,0.889369,671.75597,228.135854,672.25597,282.364146,101221.6561,391.422709,9.76,0.00419,258.599345,4689.25,432.070088,208.622724,6.588867,7.125951,6.051783,32.348112,0.856429,145.689483,323.961573,146.189483,186.538427,481817.6885,641.503892,8.2,0.001445,751.075239,24680.25,1279.250552,215.635345,6.442936,6.88431,6.001563,37.054533,0.751944
38,DqCep_V_15s_030_out.FIT,30,0,58024.60832,2458024.608,2458024.608,2458024.614,NaN,1.991289,30.025068,5.325188,15,0,0,12,20,30,1.865966,0.213097,4.692699,0.00285,0.00086,0.018942,654.663242,247.733908,247.733908,584989.3701,750.777081,643.516807,69.561346,644.016807,440.938654,1091570.353,904.18798,7.291242,0.001657,1207.238292,51022.25,2674.941309,210.89988,6.695792,7.095267,6.296316,30.900862,0.936686,682.087327,235.154612,682.587327,275.345388,102761.3334,391.707386,9.76,0.004131,262.342088,5339.75,434.096366,207.749816,6.722553,7.081784,6.363322,33.510491,0.925483,155.994232,330.97119,156.494232,179.52881,482228.0367,640.493207,8.2,0.001441,752.901094,33418.5,1284.336475,215.094708,6.218599,6.669367,5.767831,35.062379,0.820055
39,DqCep_V_15s_031_out.FIT,31,0,58024.60863,2458024.609,2458024.609,2458024.614,NaN,1.987035,30.096644,4.88976,15,0,0,12,20,30,1.871617,0.20905,4.783555,0.002861,0.000854,0.01953,654.213331,244.929302,244.929302,585598.1135,752.743861,654.90956,77.255378,655.40956,433.244622,1096015.413,906.552398,7.287959,0.001658,1208.992901,48574,2637.269358,212.456497,6.522051,6.745304,6.298798,36.589584,0.944162,693.51527,242.853264,694.01527,267.646736,101252.2799,390.909418,9.76,0.004184,259.017243,4933,432.617257,208.607788,6.133996,6.388974,5.879018,34.58827,0.945496,167.433622,338.70192,167.933622,171.79808,484345.8336,643.2831,8.2,0.001441,752.927962,31189.75,1286.299779,214.7382,5.931044,6.184943,5.677145,38.799977,0.841613
40,DqCep_V_15s_032_out.FIT,32,0,58024.60894,2458024.609,2458024.609,2458024.615,NaN,1.982806,30.168144,5.325188,15,0,0,12,20,30,1.894079,0.19928,5.018069,0.002908,0.000842,0.021194,651.223981,236.772035,236.772035,578595.0314,748.665195,588.764281,35.795679,589.264281,474.704321,1095904.719,906.163895,7.275006,0.001666,1209.389079,40361.5,2641.751109,211.807164,6.24953,6.327353,6.171706,40.86642,0.970008,627.494804,201.381222,627.994804,309.118778,96142.97102,385.385177,9.76,0.004343,249.472415,4087.25,424.794183,209.709237,3.952736,3.779575,4.125897,46.342389,-2.485349,101.481591,297.696325,101.981591,212.803675,482452.0604,641.854999,8.2,0.001444,751.652727,22395,1290.779444,218.663755,5.759159,5.879309,5.639009,41.256873,0.897529
41,DqCep_V_15s_033_out.FIT,33,0,58024.60924,2458024.609,2458024.609,2458024.615,NaN,1.978758,30.236924,5.325188,15,0,0,12,20,30,1.867756,0.211172,4.735477,0.002866,0.000862,0.019328,651.614611,245.011978,245.011978,582745.8251,752.482586,598.632558,42.524538,599.132558,467.975462,1088426.986,902.652519,7.290201,0.001665,1205.809503,48957.75,2646.538031,211.578331,6.101264,5.911738,6.29079,63.157502,0.989016,637.318597,208.103581,637.818597,302.396419,101603.723,391.873144,9.76,0.004179,259.277076,4979.5,434.790376,210.003378,5.804784,5.739988,5.869581,52.015616,0.991523,111.313682,304.313864,111.813682,206.186136,481142.1021,642.390443,8.2,0.001449,748.987017,27035.25,1278.497241,216.373395,5.6137,5.402401,5.825,54.020791,0.941085
42,DqCep_V_15s_034_out.FIT,34,0,58024.60955,2458024.61,2458024.609,2458024.615,NaN,1.97458,30.308274,4.88976,15,0,0,12,20,30,1.901111,0.21575,4.634991,0.002931,0.000877,0.018839,648.543199,246.029506,246.029506,577200.2436,751.187873,540.19305,148.968327,540.69305,361.531673,1097321.956,907.385918,7.270983,0.001673,1209.322223,49484.75,2624.628022,212.931416,5.901098,5.970302,5.831894,39.413275,0.985354,578.932935,314.496799,579.432935,196.003201,102431.4313,392.748142,9.76,0.004155,260.806915,5348.5,436.175332,209.557121,5.698222,5.797184,5.599259,36.498282,0.9859,52.874881,410.816069,53.374881,99.683931,474768.8123,640.337503,8.2,0.001463,741.435274,25720,1265.328744,219.582462,5.592543,5.691486,5.4936,40.821675,0.940762
43,DqCep_V_15s_035_out.FIT,35,0,58024.61008,2458024.61,2458024.61,2458024.616,NaN,1.967671,30.427019,4.88976,15,0,0,12,20,30,1.903876,0.216296,4.623292,0.002949,0.000887,0.018967,645.672131,243.754898,243.754898,573892.4213,750.867137,551.433819,156.290498,551.933819,354.209502,1092620.033,905.525516,7.269405,0.00168,1206.614296,58042.25,2625.616998,213.652246,5.696184,5.285649,6.106719,83.427128,0.978315,590.117257,321.923056,590.617257,188.576944,102056.3042,395.257509,9.76,0.004197,258.202063,5867.5,434.400768,210.593083,5.356399,5.013684,5.699114,77.385401,0.980152,64.092144,418.195189,64.592144,92.304811,471836.1172,638.41441,8.2,0.001468,739.07498,29523.25,1259.39207,220.105469,5.426248,5.070896,5.781599,64.692604,0.957757
